"term","estimate","std.error","statistic","p.value"
"(Intercept)",1.67381630189226,2.30133901085576,0.727322786428518,0.467454780954037
"MP",0.0437655601516359,0.00698063846989397,6.26956407216727,9.41181734577405e-10
"Age",0.0370835245243001,0.0844468475747689,0.439134504002254,0.66080179165209
"`FG%`",20.8759686537985,1.88074510427713,11.0998394233876,3.94381237875244e-25
